Species,SL,Arch.ID,Arch.Length,Oss.Status,Arch.Type
anchoa,9,cb1,1.037,cartilage,cerato
anchoa,9,cb2,0.893,cartilage,cerato
anchoa,9,cb3,0.697,cartilage,cerato
anchoa,9,cb4,0.548,cartilage,cerato
anchoa,9,cb5,0.439,cartilage,cerato
anchoa,10,cb1,1.011,cartilage,cerato
anchoa,10,cb2,0.885,cartilage,cerato
anchoa,10,cb3,0.731,cartilage,cerato
anchoa,10,cb4,0.522,cartilage,cerato
anchoa,10,cb5,0.354,cartilage,cerato
anchoa,12,cb1,1.385,cartilage,cerato
anchoa,12,cb2,1.155,cartilage,cerato
anchoa,12,cb3,0.896,cartilage,cerato
anchoa,12,cb4,0.729,cartilage,cerato
anchoa,12,cb5,0.645,cartilage,cerato
anchoa,13,cb1,1.351,cartilage,cerato
anchoa,13,cb2,1.132,cartilage,cerato
anchoa,13,cb3,0.895,cartilage,cerato
anchoa,13,cb4,0.732,cartilage,cerato
anchoa,13,cb5,0.593,cartilage,cerato
anchoa,15,cb1,1.318,cartilage,cerato
anchoa,15,cb2,1.158,cartilage,cerato
anchoa,15,cb3,0.883,cartilage,cerato
anchoa,15,cb4,0.658,cartilage,cerato
anchoa,15,cb5,0.565,cartilage,cerato
anchoa,15,cb1,1.709,cartilage,cerato
anchoa,15,cb2,1.442,cartilage,cerato
anchoa,15,cb3,1.03,cartilage,cerato
anchoa,15,cb4,0.82,cartilage,cerato
anchoa,15,cb5,0.684,cartilage,cerato
anchoa,15,cb1,1.789,cartilage,cerato
anchoa,15,cb2,1.433,cartilage,cerato
anchoa,15,cb3,1.246,cartilage,cerato
anchoa,15,cb4,0.882,cartilage,cerato
anchoa,15,cb5,0.829,cartilage,cerato
anchoa,17,cb1,1.341,cartilage,cerato
anchoa,17,cb2,1.265,cartilage,cerato
anchoa,17,cb3,0.777,cartilage,cerato
anchoa,17,cb4,0.661,cartilage,cerato
anchoa,17,cb5,0.559,cartilage,cerato
anchoa,17,cb1,1.408,cartilage,cerato
anchoa,17,cb2,1.013,cartilage,cerato
anchoa,17,cb3,0.906,cartilage,cerato
anchoa,17,cb4,0.725,cartilage,cerato
anchoa,17,cb5,0.653,cartilage,cerato
anchoa,18,cb1,1.492,cartilage,cerato
anchoa,18,cb2,1.195,cartilage,cerato
anchoa,18,cb3,0.844,cartilage,cerato
anchoa,18,cb4,0.746,partial,cerato
anchoa,18,cb5,0.673,cartilage,cerato
anchoa,19,cb1,2.167,cartilage,cerato
anchoa,19,cb2,1.767,cartilage,cerato
anchoa,19,cb3,1.156,cartilage,cerato
anchoa,19,cb4,1.224,partial,cerato
anchoa,19,cb5,1.11,cartilage,cerato
anchoa,19,cb1,2.575,cartilage,cerato
anchoa,19,cb2,1.941,cartilage,cerato
anchoa,19,cb3,1.475,cartilage,cerato
anchoa,19,cb4,1.397,partial,cerato
anchoa,19,cb5,1.172,cartilage,cerato
anchoa,20,cb1,2.618,cartilage,cerato
anchoa,20,cb2,1.886,cartilage,cerato
anchoa,20,cb3,1.936,cartilage,cerato
anchoa,20,cb4,1.198,cartilage,cerato
anchoa,20,cb5,1.079,cartilage,cerato
anchoa,20,cb1,1.612,cartilage,cerato
anchoa,20,cb2,1.289,cartilage,cerato
anchoa,20,cb3,0.793,cartilage,cerato
anchoa,20,cb4,0.788,partial,cerato
anchoa,20,cb5,0.655,partial,cerato
anchoa,20,cb1,1.424,cartilage,cerato
anchoa,20,cb2,1.222,cartilage,cerato
anchoa,20,cb3,0.916,cartilage,cerato
anchoa,20,cb4,0.856,cartilage,cerato
anchoa,20,cb5,0.747,cartilage,cerato
anchoa,20.5,cb1,1.734,cartilage,cerato
anchoa,20.5,cb2,1.267,cartilage,cerato
anchoa,20.5,cb3,0.905,cartilage,cerato
anchoa,20.5,cb4,0.83,partial,cerato
anchoa,20.5,cb5,0.787,cartilage,cerato
anchoa,23,cb1,1.877,partial,cerato
anchoa,23,cb2,1.47,partial,cerato
anchoa,23,cb3,1.066,partial,cerato
anchoa,23,cb4,0.974,partial,cerato
anchoa,23,cb5,0.876,partial,cerato
anchoa,24,cb1,1.745,partial,cerato
anchoa,24,cb2,1.495,partial,cerato
anchoa,24,cb3,1.106,partial,cerato
anchoa,24,cb4,0.983,partial,cerato
anchoa,24,cb5,0.865,partial,cerato
anchoa,26,cb1,3.064,partial,cerato
anchoa,26,cb2,2.304,partial,cerato
anchoa,26,cb3,1.638,partial,cerato
anchoa,26,cb4,1.694,partial,cerato
anchoa,26,cb5,1.437,partial,cerato
anchoa,27,cb1,3.862,ossified,cerato
anchoa,27,cb2,2.699,ossified,cerato
anchoa,27,cb3,1.88,ossified,cerato
anchoa,27,cb4,1.766,ossified,cerato
anchoa,27,cb5,1.566,partial,cerato
anchoa,28,cb1,3.789,ossified,cerato
anchoa,28,cb2,2.538,ossified,cerato
