Species,SL,Arch.ID,Arch.Length,Oss.Status
anchoa,10,eb3,0.534,cartilage
anchoa,10,eb3,0.447,cartilage
anchoa,10,eb4,0.409,cartilage
anchoa,10,eb4,0.363,cartilage
anchoa,13,eb3,0.428,cartilage
anchoa,13,eb4,0.356,cartilage
anchoa,18,eb1,1.191,cartilage
anchoa,18,eb2,0.744,cartilage
anchoa,18,eb3,0.5,cartilage
anchoa,19,eb1,0.953,cartilage
anchoa,19,eb2,1.062,cartilage
anchoa,19,eb3,0.637,cartilage
anchoa,20,eb1,1.15,cartilage
anchoa,20,eb1,1.339,partial
anchoa,20,eb2,0.867,cartilage
anchoa,20,eb2,0.974,partial
anchoa,20,eb3,0.452,cartilage
anchoa,20,eb3,0.61,partial
anchoa,20,eb4,0.464,cartilage
anchoa,20,eb4,0.495,cartilage
anchoa,23,eb1,1.253,partial
anchoa,23,eb2,0.896,cartilage
anchoa,23,eb3,0.539,cartilage
anchoa,23,eb3,0.376,cartilage
anchoa,23,eb4,0.376,cartilage
anchoa,23,eb4,0.278,cartilage
anchoa,26,eb1,1.397,partial
anchoa,26,eb2,1.293,cartilage
anchoa,26,eb3,0.697,cartilage
anchoa,26,eb4,0.684,cartilage
anchoa,27,eb3,0.661,full
anchoa,27,eb4,0.615,full
anchoa,28,eb3,0.626,full
anchoa,28,eb4,0.53,full
anchoa,54,eb3,1.016,full
anchoa,54,eb3,1.627,full
anchoa,54,eb4,0.678,full
anchoa,54,eb4,1.268,full
anchoa,62,eb1,4.133,full
anchoa,62,eb2,3.019,full
anchoa,62,eb3,2.166,full
anchoa,62,eb4,1.306,full
brevoortia,20,eb1,0.491,cartilage
brevoortia,20,eb2,0.535,cartilage
brevoortia,20,eb3,0.415,cartilage
brevoortia,20,eb4,0.474,cartilage
brevoortia,25,eb1,0.522,cartilage
brevoortia,25,eb2,0.636,cartilage
brevoortia,25,eb3,0.529,cartilage
brevoortia,25,eb4,0.409,cartilage
brevoortia,27,eb1,1.023,full
brevoortia,27,eb2,1.031,full
brevoortia,27,eb3,0.78,full
brevoortia,27,eb4,0.716,full
brevoortia,28,eb1,0.845,partial
brevoortia,28,eb2,0.812,partial
brevoortia,28,eb3,0.621,partial
brevoortia,28,eb4,0.614,partial
brevoortia,30,eb1,1.127,full
brevoortia,30,eb2,1.063,full
brevoortia,30,eb3,0.747,full
brevoortia,30,eb4,0.703,full
brevoortia,32,eb1,0.347,full
brevoortia,32,eb2,0.343,full
brevoortia,32,eb3,0.25,full
brevoortia,32,eb4,0.272,full
brevoortia,33,eb1,1.353,full
brevoortia,33,eb2,1.346,full
brevoortia,33,eb3,0.936,full
brevoortia,33,eb4,1.051,full
brevoortia,40,eb1,2.006,full
brevoortia,40,eb2,1.687,full
brevoortia,40,eb3,1.392,full
brevoortia,40,eb4,1.089,full
brevoortia,44,eb1,3.239,full
brevoortia,44,eb2,3.368,full
brevoortia,44,eb3,2.438,full
brevoortia,44,eb4,2.068,full
brevoortia,54,eb1,2.33,full
brevoortia,54,eb2,2.05,full
brevoortia,54,eb3,1.212,full
brevoortia,54,eb4,1.048,full
molitrix,15,eb4,1.3,full
molitrix,18,eb4,1.4,full
molitrix,20,eb4,1.4,full
molitrix,25,eb4,1.9,full
molitrix,30,eb4,2.5,full
molitrix,50,eb4,6.6,full
molitrix,40,eb4,3.5,full
molitrix,80,eb4,7.8,full
molitrix,90,eb4,5.4,full
